anio,semana_epi,codigo_provincia,provincia,casos_sin_alarma,casos_con_alarma,casos_graves,casos_dengue_total,hospitalizados,fallecidos,tasa_incidencia_dengue_x100k,temp_max_c,temp_min_c,temp_mean_c,rango_diurno_temp_dtr,humedad_relativa_pct,precipitacion_mm,spec_hum_gkg,dewpt_c,precip_mm,soil_moist_pct,elev_m,slope_deg,indice_viento_m_s,poblacion_total,densidad_poblacional_km2,indice_urbanismo,acceso_agua_potable,escasez_agua,ndvi,evi,ndwi,lst_day_c,lst_night_c,et_mm
2019,3,21,Sucumbíos,2,5,0,7,2,0,3.385633307,,,,,,,,,,,,,,206756,11.44015077,0.147710774,5400,0.973882257,,,,,,
2019,3,22,Orellana,2,0,0,2,0,0,1.140654051,,,,,,,,,,,,,,175338,8.036015425,0.141917977,0,1,,,,,,
2019,3,23,Santo Domingo de los Tsáchilas,13,0,0,13,0,0,2.603029927,,,,,,,,,,,,,,499418,144.3058731,0.65311111,0,1,,,,,,
2019,3,24,Santa Elena,0,0,0,0,0,0,0,,,,,,,,,,,,,,386955,104.14785,0.282193752,2783,0.992807949,,,,,,
2019,4,1,Azuay,0,0,0,0,0,0,0,,,,,,,,,,,,,,820239,98.10791688,0.572915823,4195,0.994885637,,,,,,
2019,4,2,Bolívar,1,0,0,1,0,0,0.478363614,,,,,,,,,,,,,,209046,52.77167853,0.083481647,5,0.999976082,,,,,,
2019,4,3,Cañar,2,0,0,2,0,0,0.840452668,,,,,,,,,,,,,,237967,75.31383943,0.260053475,13590,0.942891241,,,,,,
2019,4,4,Carchi,0,0,0,0,0,0,0,,,,,,,,,,,,,,183616,52.36150034,0.229477363,28,0.999847508,,,,,,
2019,4,5,Cotopaxi,0,0,0,0,0,0,0,,,,,,,,,,,,,,466924,76.13629045,0.334700172,4766,0.989792771,,,,,,
2019,4,6,Chimborazo,0,0,0,0,0,0,0,,,,,,,,,,,,,,499939,76.62541452,0.242000612,6230,0.98753848,,,,,,
2019,4,7,El Oro,8,0,0,8,2,0,1.098477099,,,,,,,,,,,,,,728281,125.7298137,0.580560813,9247,0.987302978,,,,,,
2019,4,8,Esmeraldas,21,3,0,24,4,0,4.083570265,,,,,,,,,,,,,,587721,36.36223893,0.119236404,12135,0.979352448,,,,,,
2019,4,9,Guayas,8,1,0,9,4,0,0.199567338,,,,,,,,,,,,,,4509756,288.9021046,0.641727986,3120,0.999308167,,,,,,
2019,4,10,Imbabura,0,0,0,0,0,0,0,,,,,,,,,,,,,,474152,103.128593,0.44530126,1900,0.995992846,,,,,,
2019,4,11,Loja,0,0,0,0,1,0,0,,,,,,,,,,,,,,497948,45.07589995,0.552012706,10978,0.977953521,,,,,,
2019,4,12,Los Ríos,9,0,0,9,0,0,0.961213949,,,,,,,,,,,,,,936316,129.3940734,0.225698276,12000,0.987183814,,,,,,
